County,Category,Skilled_Construction_Worker,Status_of_Accreditation,Year_Accredited,Site_Supervisor,Class,Year_Accreditated_SS,Unacrredited,Number_applied,Gender,Age,Education,Other_Education,Q4,Q4_Others,Q5a,Q5b,Q5c,Q5cOthers,Q6,Q7a,Q7b,Q7c,Q8,Q8_Specify,Q9,Q9other,Q10,Q11,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q12h,Q12i,Q12j,Q12k,Q12l,Q12m,Q12n,Q12o,Q12p,Q12q,Q12r,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q13k,Q13l,Q13m,Q13n,Q13o,Q14a,Q14b,Q14c,Q14d,Q14e,Q14f,Q14g,Q14h,Q14i,Q14j,Q14k,Q14l,Q14m,Q14n,Q15,Q16,Q17,Q18,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,FAC8_1,FAC9_1,FAC10_1,X1_Awareness,X2_Training,X3_Financial,X4_Process,X5_Recognition_and_Value,X6_Support_System,X7_Stakeholder_committement,X8_Nature_of_Work,X9Legal_and_Institutional,X10_Devolved_Registration,X11Wages,Likelihood,Accreditation_Status,Probability,accreditation_status_2
NAIROBI,1,1,0, , , , ,1,1,1,3,2, ,1, ,Mason,2,1, ,1,2,2,N,2, ,1, ,1,7,6,6,6, ,5,1,1,1,1,1,1,1,1,1,7,7,1,1,2,1,1,1,2, ,1,1,1,2,1,2,1,2,1,1,1,4,1,7,7,1,1,7,7,7,1,2,3,"Yes, provides job opportunities",High fees,Reduce fees,No,-2.00168842803111,2.21382314800826,-1.53196224680875,-.493204462769897,-.020495136002708,-1.77017829715334,-1.56682698172349,-1.07702608121864,.251589088995696,1.86226164139965,5.75,1,1,3.4,1.4,1.2,1.5,2,3.4,7,3.25,1,1,1,1
NAIROBI,1,1,0, , , , ,2, ,1,3,4, ,2, ,Carpenter,1,2, ,1,1,2, ,2, ,1, ,2,5,7,7,5,4,5,3,4,3,3,1,1,1,4,4,7,4,7,1,7,7,7,3,4,7,7,4,3,4,4,1,7,7,7,7,7,7,7,7,4,1,1,5,5,1,1,2,1,"Yes, it is important because it ma",Employees who think that you,"Lower the price, make the accreditation", ,1.34909230970382,-.481620787842754,.934719405114942,.00954931589178212,-1.66101302996722,-2.12606734098764,-.270455367844062,.57448563366227,.270646568957652,.786924800010268,5.6,3.25,1.75,4.6,5.6,4.83333333333333,5.5,7,4,5,1.25,1,0,.714285714285714,1
NAIROBI,1,1,0, , , , ,2, ,1,2,4, ,1, ,Carpenter,1,2, ,1,2, , ,2, ,1, ,2,4,3,3,5, ,3,3, ,2,2, ,2,1,4,4, ,2,1,1,4,4,5,5,4,4,5,4,5,4,4,3,4,5,6,5,4,5,3,3,3,4,4,2, ,1,2,3,2,Yes,Lack of awareness,The accreditation should be free, ,.155476186918839,-.735218891291652,.802369526578462,-.754716261706721,-.851104315177833,-.539199551429094,-.668806658570236,.0548271103162104,.674720577253341,-.796615926281572,3.5,2.33333333333333,2.33333333333333,2,4.4,4.33333333333333,4.5,4.66666666666667,3.4,2,2,99,0,.571428571428571,1
NAIROBI,1,1,0, , , , ,2, ,2,4,1, ,6, ,Mason,2,1, ,1,2,2,N,2, ,2, ,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,Fees,Reduce fees,N/A,-1.22936327729393,-1.64178191585668,-.397727877863573,-.865471940309173,-.735416282097754,-.568141620831662,-1.18736249744538,-1.02033588998886,-.654955271702047,-.486994770946882,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
NAIROBI,1,1,0, , , , ,1,1,1,4,4, ,1, ,Mason,2,1, ,1,2,2,N,2, ,2, ,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,No,High fees,Reduce the fees, ,-1.06615774331937,-1.67292276623914,-.312129293340195,-.959975400208513,-.0112177844167827,-.670263364615529,-1.33975961235369,-1.12463056238835,-1.01462215472461,-.366595605870226,1,1,1,1,1.4,1,1,1,1,1,2.25,99,1,.571428571428571,1
NAIROBI,1,1,0, , ,1, ,2, ,1,3,3, ,2, ,Carpenter,2,1, ,1,2,2, ,2, ,2, ,2,6,1,7,7,7,1, ,7,7,7,1,1,1,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,1,7,7,No,High fees,Reduce the fees,N/A,.072252260038444,1.61565395454116,1.44395888309798,.613115125526011,.460471710304766,-2.77602078182253,1.46375860786269,1.24099858873165,-.856097705897003,-.617794872431477,4.6,7,1,5.8,7,7,7,7,5.8,7,5.5,1,0,.857142857142857,1
KILIFI,1,2,1,2021, ,2, , , ,2,5,4, ,6, ,Electrician,1,1, ,3,1, , , , , , , , ,7,5,7,3,3,7,7,7,2,3,4,5,5,7, ,5,5,7,5,6,6,5,5,3,4,3,6,5,1,7,7,3,5,3,5,5,3,7,7,4,5,7,7, ,2,1,2,"Yes, because it allows the workers",Lack of information,Enfoercement by NCA staff to ensure that,Proccessing of cards should be done,-.243558627230324,1.33563502853571,-.609743467557862,1.15167844583397,-1.38312287266191,-.0791388062665281,.304500504503081,-.451226633029643,.29976934035953,.406802430302044,5,5.75,4.25,6,5.4,3.66666666666667,5.5,4.33333333333333,5.2,7,1.66666666666667, , , ,0
KILIFI,1,2,1, , , , ,2, ,1,5,1, ,6, ,Mason,2,1, ,4,2,2, ,2, ,2, ,2,4,5,5,5,3,3,1,1,1,1,1,1,1,1,1,1,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1, , , , ,-1.39947641340316,-2.18334838770753,-.663593679171157,.373797998611938,-.819216225031579,-.94038300116551,-1.59010148110636,-1.22927368439114,.752530131815745,1.10077579265254,4.2,1,1,3,1,1,1,1,1.4,1,1,99,0,.571428571428571,0
KILIFI,1,3,1,2019, ,1, , , ,1,3,4, ,6, ,Foreman,1,1, ,2,1,2, ,2, ,2, ,3,7,7,7,7,7,4,3,7,7,6,5,5,5,1,4,7, ,5,6,4,7,7,5,5,6,5,7,7,1,1,7,7,1,1,3,6,3,1,7,7,6,3,7,7,3,2,2,1, , , , ,-1.04827511511778,1.79430959409258,-1.9913021040305,.715076276990444,-1.77738885151717,.441897347190738,.713462422022137,1.21591140972736,-.303009246164024,1.8141075429714,6.4,5.75,4,5.5,5.6,4.5,4,4,4.8,7,2,1, ,1,0
KILIFI,1,2,1, , ,1, , , ,1,3,1, ,6, ,Mason,2,1, ,2,2, , ,2, ,2, ,3,7,6,6,6,4,7,4,6,4,6,7,6,2,2,6,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,6,7,6,7,6,4,7,7,6,7,7,7,7,6,6,4,"Yes, it helps recognize one in the",Access to the information is, , ,.191269546997068,.762907444851003,.986515617495018,.133761133286483,.503363692838648,-.0057984053667762,-.73230236446306,1.61683323982602,.211097228066011,.272460740366224,5.8,5,4.25,6.4,7,6.83333333333333,6.5,6.33333333333333,6.2,7,5.75,1, ,1,0
TAITA TA,2, ,1, ,2,1,2023, , , , , , , , ,Interior Decorator,1,3, ,2,1, ,G,2, ,2, ,4,7,6,6,5,5,6,6,5,5,5,6,6,6,5,5,6,6,6,6,6,6,5,5,5,6,5,5,5,5,6,6,6,5,5,6,6,6,5,6,5,5,5,6,6,5,5,5,6,Yes,No committment from workers,Lower registration fees,N/A,.300151919613702,-.0460701654849014,.213815034137613,.692756267796156,.387712932261391,.847897642213301,-.17902415350251,-.0995709851792889,-.075829009821731,.579103258368797,5.6,5.25,5.75,5.8,5.4,5.33333333333333,5.5,6,5.2,6,5.25,1, ,1,0
TAITA TA,1,3,1,2020, , , , , ,1,3,4, ,3, ,Carpenter,1,2, ,2,1,1,U,2, ,5, ,2,5,6,5,5,5,6,6,6,6,5,5,5,5,6,5,5,5,5, ,6,5,5,5,5,6,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5,5,5,6,6,5,5,5,5,"Yes, it improves quality of constr",Lack of diligence by contract,More frequent trainings by NCA and other,N/A,.151341801155794,-.15041362178097,.383247647318209,.276871537964602,.448864729329757,.443534599778531,.463102154529137,-.272459879029766,.0689330102432816,.312120936019617,5.4,5.75,5.25,5,5.2,5.16666666666667,5.75,5.33333333333333,5,6,5,1, ,.714285714285714,0
TAITA TA,1,2,1, , ,1, , , ,2,2,4, ,6, ,Foreman,1,3, ,1,1, , , , , , , , ,7,7,7,6,6,6,7,5,5,6,5,6,5,6,7,6,6, ,7,6,7,6,6,7,6,5,5,5,6,7,7,7,6,5,6,6,6,7,5,6,5,6, ,5,5,5,5,"Yes, it is imoportant in regulatin",Lack of awareness,More sensitisation,N/A,.410835839371891,-.379785188478413,.888367780909109,.746516931969654,.150335282073468,.230318603345975,.264908537426326,.060577527158008,.287935908555178,1.1425062265251,6.6,5.75,5.5,6.25,6.4,5.66666666666667,6.75,5.66666666666667,5.8,6,5, , , ,0
KWALE,2, ,0, ,1, ,2018, , ,1,6,1, ,4, ,Carpenter,2,1, ,5,2, , ,2, ,2, ,3,6,5,1,1,5,1,5,1,1,5,5,1,1,1,5,1,5,5,1,3,3,1,1,5,1,1,3,3,3,3,3,5,1,5,1,5,3,3,5,5,3,5,5,1,1,5,3,5,It is important because some contr,NCA should conduct more teach,More training to the contractors, ,-.373029232360175,-.347960987863738,.807415567140563,-.307485730303266,.0618616017275048,-.360502107447125,-.943062414001029,-1.77275856122961,-.436045507666832,-.564718316299122,2.6,3,2,3.4,2.6,2.33333333333333,3.5,3,4.2,3,3.5,1, ,.857142857142857,1
KILIFI,2, ,0, ,1,6, ,2, ,1,3,4, , , ,Foreman,1,1, ,2,2,2, ,2, ,1, ,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6, , , , , , , , , , , , , ,"Yes, allows easy identification of","Poor internet service, person",Accreditation should be only in Nairobi,Extend the time for accreditation,.533462017200188,.214809297488959,-.0295132367650187,-.55308963189553,.363456195670776,-.167947545237161,-.804707763117067,-.551837153796584,-.552912871977377,-.729669194691397,3,3,3,3,4,4,4,6, , , ,99,0,.571428571428571,1
KWALE,2, ,1, ,2,5,2023, , ,1,2,4, ,2, ,Safety officer,1,1, ,1,1,2, ,2, ,1, ,3,3,7,7,4, ,5, ,5,5,5,4,4,1,1,7,7,7,4,7,7,7,7,7,5,5,6,7,7,2,2,4,4,1,7,5, ,6,7,4,7,4,7,4,7,3, , ,7,"Yes, helps in securing jobs", ,Encourage workers on the mportance of ha,NCA should provide employment opport,.394521473171054,.391690462513672,-.528405381559343,.238124283438316,-.0169430048201347,-1.05674617212842,-.808044424515322,1.52290868342222,1.02925715469113,.424956880010504,5.75,5,2.5,6.4,6.6,4.83333333333333,4,5.5,5.8,5.5,5,0, ,.428571428571429,0
KILIFI,2, ,1, ,2,1,2022, , ,1,6,2, ,1, ,Carpenter,1,2, ,3,2, , ,2, ,2, ,3,7,6, ,2,6,2,2,2,2,2,6,6,2,2,6,6,6,6,4,7,7,6,4,5,5,5,5,6,6,5,6,5,2,4,4,5,5,6, ,2,4,5, ,6,6,2,6,6,"Yes, some sites require you to hav",Jobs are not consistent,NCA to communicate the benefits of being,Reduce the fees for site supervisors,.159340900198979,-.173249708368369,.979944651545448,-.282606496884963,.272829014865221,.26877077835123,-2.38261662065823,.639361277864464,-.334822993190062,.934476915883468,4,2,4,5.6,5.8,5.33333333333333,4.25,4.66666666666667,4.25,6,5,1, ,1,0
KILIFI,2, ,0, ,1, , ,1,3,1,6,2, ,1, ,"Carpenter, Foreman",1,2, ,5,2, , ,2, ,1, ,4,7,7,6,6,6,4,6, ,2,6,4,4,1,2,1,1,1,1,2,6,7,7,1,4,6,6,7,1,1,1,1,1,1,7,6,7,1,6,6,2,6,4,2,4,6,2,7,7, , , , ,.962442298613205,-1.16913768712394,-1.31363775303701,-2.02553803843333,1.68163559569788,-.644250924822534,-.33114737957766,.490262950048259,.442803473858506,1.36542399462078,5.8,4.66666666666667,2.75,1.2,5,3.66666666666667,2.5,4.66666666666667,4.8,3,5.5,1,1,1,1
MOMBASA,2, ,1, ,2,1,2023, , ,1,4,4, ,2, ,Steel Fixer,1,2, ,4,1, , , , ,2, ,2,7,1,1,1,4, ,1,1,1,1,4,4,4,4,4,4,4,4,3,5,5,7,4,4,4,4,4,4,4,6,4,4, ,4,4,5,5,4,7,4,4,5,5,5,4,5,4,4,Compliance, ,Advertisements, ,.897319100099802,.0729319022495338,.393088104995384,-.219788974072346,.365639070782749,.332050191330164,-2.38150370948155,-.157937616105548,-.71883019338773,-1.17641400803999,1.75,1,4,3.8,5,4.33333333333333,4,4.66666666666667,4.8,5,4.25,1, ,1,0
MOMBASA,2, ,0, ,1,1, ,1,1,1,2,4, ,6, ,Site Quantity Surveyor,1,3, ,1,1,2, ,2, ,1, ,2,5,7,7,4,7,3,7,4,4,4, ,2,2,5,5,5,4,4,4,5,5,6,4,5,5,4,4,5,3,4,4,4,5,4,5,5,6,6,5,5,5,2,4,3,2,2,7,2,"Yes, it safeguards the public by e",Many requirements,Continous assesment and training of skil, ,.708842927983947,-.992861297156199,-.0251525361407471,.379975478846068,-.586956050083905,-.532324616654983,-.101813399251896,-.374726258546899,.581366676371896,1.04838224256008,5.6,4.75,3,4.4,5,4.16666666666667,4.25,5.33333333333333,4.6,3.5,3.25,1,1,.714285714285714,1
MOMBASA,2, ,1, ,2,3,2019, , ,1,4,4, ,3, ,"Electriciaan, Plumber",1,2, ,3,1,2, ,2, ,2, ,4,6,4,5,3,2,3,3,2,2,5,3,4,2,2,4,5,5,3,2,2,2,5,2,1,3,2,2,3,3,2,4,4,4,2,1,1,2,5,5,3,1,1,1,2,1,4,3, ,"Yes, helps one to acquire a job",Time is a limiting factor,Education on the importance of accredita, ,-1.55327583400845,-1.55938498765351,.963307166946432,-.0800489070676517,-.365802531827099,-.275410747935307,-.784028152951091,-.870536066217537,-.180446539448507,1.05828513126925,3.4,3,2.75,3.8,2.4,2.5,3.5,1.33333333333333,3,1.5,2.66666666666667,1, ,.857142857142857,0
MOMBASA,2, ,0, ,1,1, ,1,1,1,7,1, ,1, ,Electrician,1,1, ,4,1,1, ,2, ,4, ,2,5, ,5,5, ,5,5,7,5, , ,5,5, ,5, ,5,5, ,2, ,1,2,1,1,2,2,1,1,1,2,2,2,5,1,2,2,2,2,1,1,2,3,2,1,2,2,1,It give education to technicians o,Sometimes you run out of work,To improve more accreditation should be, ,-1.69711302993497,-1.89626647897219,-.586679314224487,.939606742633285,-1.02192982112042,.0455462027488346,.966852202278496,-1.03550267211514,.640502499035525,.906197930744543,5,5.66666666666667,5,5,1.5,1.33333333333333,2.75,1.66666666666667,1.6,2.5,1.5,1,1,.714285714285714,1
MOMBASA,2, ,1, ,2, ,2018, , ,1,3,4, ,2, ,Civil Engineer Technician,2,5,TVET,2,1,1,S,2, ,1, ,3,6,7,7,7,5,7,7,7,7,7,5,5,1,1,4,7,1,1,1,5,4,5,3,4,6,6,6,2,3,2,5,3,1,3,6,4,4,7,7,7,5,5,5,5,5,5,6,1, ,Lack of information,Discouragement from NCA employees, ,-.479410269962366,.438592838141103,-.928505152088679,-1.94125528429869,.328833495700173,-.335033323933272,1.24400232284755,.255584286704174,1.09497709358461,1.89170564813582,6.6,7,3,2.8,4.2,4.16666666666667,3,4.66666666666667,6.2,5,4.25,1, ,.857142857142857,0
MOMBASA,2, ,0, ,1, , ,1,3,1,8,2, ,1, ,Steel Fixer,2,1, ,5,2, , ,2, ,2, ,2,6,7,7,1,1,6,1,6,6,6,2,2,1,7,4,6,1,5,7,7,7,7,7,7,4,6,6,1,1,1,7,7,4,4,4,5,4,1,7,4,7,4,6,4,6,1,7,7,"Yes, card holders are valued, this",Delayed card proccessement an,"More advertisement, more sensitizesion o",More information on NCA mandate and,.427538461793616,.247215920710165,-1.48567920249591,.485620385701966,.781015447560764,-1.03113314289453,.565259616457155,1.53584516110523,-2.75846864124702,1.93728590510087,4.4,4.75,3,4.6,7,3.16666666666667,5.5,4.33333333333333,4.6,5,5.25,1,1,.857142857142857,1
MOMBASA,2, ,0, ,1, , ,1,2,1,4,5, ,1, ,"Scaffolder, Foreman",1,3, ,4,2,2, ,2, ,1, ,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,1,1, , ,1,1,1,3,3,1,1,1,1,7, ,3,1,1,1,3,1,1,1, ,1,1,1,1,1,1,1,"Yes, NCA should train workers befo",It is time consuming and the,Train the workers, ,-.508041045907758,-1.85943704399664,.840210287739193,.127974772785795,-1.1940157515452,-.809946187671719,-1.36337009372784,-1.18591810063284,-1.50094683843924,.231835660499058,1,1,1,2.6,1,1.66666666666667,3.66666666666667,1.66666666666667,1,1,1,1,1,1,1
MOMBASA,2, ,0, ,1,1, ,1,3,1,4,4, ,6, ,Site Engineer,1,3, ,4,2, , ,2, ,2, ,8,7,1,1,1,1,6,1,1,6,1,4,6,1,4,1,6,4,4,1,6,6,6,1,4,4,4,4,1,1,3,6,6,6,6,6,6,6,6,6,6,4,4,4,4,1,1,4,4,Yes,"Tedious proccess, lack of onf",Make it easy as ABC and easy on availabl,Conduct site training and site semin,1.93657461188034,-.347256632124783,.94238831236624,-.617815839211173,-.653326581897308,-.132835368887456,-.951095018304914,-1.35100808068298,-1.10129432267162,-.855582624091117,2,2.25,3.75,3.2,4.6,2.83333333333333,6,6,5.2,4,2.5,1,1,1,1
MOMBASA,2, ,0, ,1,5, ,2, ,1,4,5, ,6, ,"Mason, Scaffolder, Steel Fi",2,1, ,1,1,2, ,2, ,1, ,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,4,4,4,5,5,4,4,4,5,4,4,6,4,5,4,4,2,2,2,2,4,4,2,2,2,3,4,"Yes, the recognicion of the educat",The lack of kniowledge about,More fielworks to be carried out and mor,"NCA is a big organisation, keep up t",.704406985590501,-1.27325625402014,1.30980291223608,-1.56775076628948,.00764324268573122,-1.09968175228807,-1.74779884872704,.958951439093913,-1.40188287521171,-1.22642092160865,1,1,1,1,4.8,4.5,4.5,4.33333333333333,2.4,3,2.75,1,0,.857142857142857,1
KWALE,1,3,1,2018, , , , , ,1,8,1, ,1, ,Steel Fixer,2,1, ,5,2, , ,2, ,2, ,2,6,3,2,1,1,1,2,3,1,2,3,4,1,1,3,4,4,3,1,1,1,4,4,1,5,3,1,4,1,1,4,3,1,1,3,3,1,3,3,3,1,1,1,1,5,1,1,1,"Yes, to be recognised",High fees,Reduce fees, ,-1.33472633312552,-1.04476527449744,.00332960340281702,-.411996449378368,-1.1909160185087,.0347473415638882,-.924652080920624,-.161334100932783,-.620524955183421,-.0385331395270442,1.6,2,2.25,3,2.2,2.5,2.25,2.33333333333333,2.2,1,2,1, ,.857142857142857,0
KWALE,1,2,1,2020, , , , , ,1,6,1, ,4, ,Steel Fixer,1,1, ,5,2, , ,2, ,2, ,2,6,1,7,7, ,7,2,7,2,2,1,2,7, ,7,7,1,1,5,4,2,5,1,7, ,2, ,1,5,3,2,2,2,2,3,2,3,2,1,7,2,4,7,4,1,7,4,2, , , , ,-1.24088186847838,-.354790851690295,-1.46095421668979,.375431608908396,.411445213407519,-1.20718836633756,.302180866318288,.679050277270923,.719097468077624,.403767768359643,5.5,3.25,3.33333333333333,4.2,3.8,2.75,2,2.66666666666667,3.2,5.5,3.5,1, ,.857142857142857,0
KWALE,1,2,1,2019, , , , , ,1,4,1, ,4, ,Electrician,1,2, ,4,2, , ,2, ,2, ,2,7,1,3,5,3,1,7,5,5,7,7,6,5,6,7,7,7,6,7,5,7,7,7,5,7,6,7,5,6,7,7,6,7,7,7,7,5,5,7,7,5,5,7,7,5,1,7,5, , , , ,.0970696867250555,.912439422331557,.73100545070062,1.45192852934745,-.210561687699184,.46847354659222,.51363613834052,1.16964592395502,-1.16316143427899,-1.56482878087892,2.6,6,6,6.8,6.2,6.33333333333333,6.75,6.33333333333333,5.8,7,4.5,1, ,1,0
KWALE,1,2,1,2018, , , , , ,1,7,1, ,4, ,Steel Fixer,2,1, ,4,2, , ,2, ,4, ,2,6,1,1,6,2,2,6,6,6,6,2,2,6,2,4,4,5,5,6,6,6,1,6,6,4,5,5,6,1,1,6,6, ,4,4,5,5,1,7,4,6,4,7,4,3,1,3,3,Identity,Lack of money,N/A, ,-.242811988021879,.786663913001275,-.985768400994299,1.61215600222502,-.996432552738795,-.399986507117942,1.23903351094385,.319167779180835,-1.05042320552823,-1.67476139281826,2.4,6,3,4.8,5,3.66666666666667,5.33333333333333,4.66666666666667,4.4,5.5,2.5,1, ,.857142857142857,0
KWALE,1,1,0, , , , ,1,2,1,4,2, ,1, ,Mason,2,1, ,3,1,2, ,2, ,2, ,2,7,5,5,1,1,1,1,1,1,1,7,7,4,4,5,5,1,1,1,1,1,2,1,4,1,1,1,3,1,1,1,3,1,1,1,5,5,1,1,1,3,1,1,4,5,1,1,1,"It is important, some projects req",Failure by NCA to give feedba,NCA needs to take action on the applied, ,-.740059702670422,-.595600806631076,-1.22961085493975,-.637428813244984,-1.09249216220106,2.18234086698155,-1.53968146521975,-1.70621091644128,-.916499268595548,.910272715449063,2.6,1,5.5,2.6,1.8,1.33333333333333,1.5,3.66666666666667,1.4,2.5,2,1,1,1,1
KWALE,1,1,0, , , , ,1,2,1,4,1, ,1, ,Carpenter,2,1, ,5,2, , ,2, ,2, ,2,6,1,1,6,6,7,6,6,7,6,6,6,6,1,4,5,1,1,1,6,6,6,4,6,4,6,6,4,1,4,7,4,4,4,4,5,5,5,5,5,4,4,5,5,5,2,5,5,Acceptance by all employers,Delayed cards,NCA should enhance site visits, ,.183728785814907,-.150999677378781,-.314613411551074,-1.30125749392285,.127126049698315,.691111130712762,.595316280720952,.536926554333384,.656644138302447,-.741235254270153,4.2,6.25,4.75,2.4,5.6,4.16666666666667,4.75,4.66666666666667,4.6,5,4.25,1,1,.857142857142857,1
MALINDI,1,1,0, , , , , , ,1,4,1, ,3, ,Mason,2,1, ,3,2, , ,2, ,2, ,2,5,1,1,5,4,1,1,1,2,2,6,6,4,4,1,1,4,4,4,4,4,4,4,5,4,4,4,4,1,1,1,4,1,4,4,4,4,4,5,4,4,1,5,4,3,5,4,4,I beleive the card can help you to,Cost and time going to NCA of,NCA to visit sites and sensitive workers, ,.302588999309442,-.160728345339899,-1.48461441663772,-.0145941808788807,.294708829260809,1.0697413714077,-1.57977898283084,-.0713395347445996,-.308877364179819,-1.49779121270705,2.4,1.5,5,2.8,4.2,3,2.5,4,3.6,4.5,4,1, ,.714285714285714,1
MALINDI,1,3,1,2015, , , , , ,1,4,2, ,1, ,Carpenter,2,1, ,4,1,2, ,2, ,2, ,2,7,6,6,1,1,7,1,1,1,1,3,3,3,3,5,5,1,1,1,6,6,1,1,5,5,1,1,3,1,1,6,3,1,1,1,5,5,1,1,1,1,1,5,3,2,2,2,2,"It is important, you cannot work o",Inconsistency on the flow of,NCA to approach the construction compani, ,-.130129035629854,-.965596358197289,-.722586804780792,-1.04739982843743,-.913676975923345,.139836248612032,-1.82780659398137,-.192477335099235,-.828875947706863,2.26212896050835,4.2,1,3,2.6,3.8,2,2.75,3.66666666666667,1,4,2,1, ,1,0
KILIFI,1,1,0, , , , , , ,1,2,4, ,1, ,Civili Engineer,1,3, ,1,2,2, ,2, ,1, ,2,1,2,1,1,2,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,4,4,4,4,5,4, ,5,4,4,4,4,4,4,4,4,4,4, , , , ,.0740799464235687,-.512048646662717,.552654086541707,.0944378724692316,.0526740426116244,.532564640997921,-.567275064275742,.274287517770016,-1.22758676925532,-1.43824292670101,1.4,3.5,4,4,4.2,5,4,4.5,4.2,4,4,0, ,.142857142857143,1
KILIFI,1,1,0, , , , ,2, ,1,5,2, ,6, ,Plant Mechanic,1,1, ,3,2,2, ,2, ,2, ,3,7,1,1,5,1,1,5,5,3,5,3,3,1,5,5,5,5,5,4,7,5,4,4,4,7,5,5,7,4,4,5,7,4,5,5,7,1,5,5,7,5,7,7,7,4,5,4,4, , , , ,-.190894366235433,1.51894246662525,.442303780800787,.258999539335093,.117600237493526,-.443394473208132,-.173189348572414,.233152926913627,-.789581257079939,-1.82469381385816,1.8,4.5,3,4.8,4.8,5.33333333333333,5.25,4.33333333333333,5.8,7,4.25,1,0,1,1
KILIFI,1,1,0, , , , ,2, ,1,6,1, ,6, ,Plant Operator,1,1, ,3,2,2, ,2, ,2, ,2,7,5,1,5,1,1,5,5,1,1,1,1,1,1,1,3, ,1,3,7,7,5,1,3,4,1,1,7,1,1,7,7,7,7,7,7,1,1,7,5,7,1,7, ,7,1,4,5, , , , ,.919013112478493,1.18758936182281,.604326339943598,-.604689295642915,.0916988873517519,-1.41408837616641,-.871433257106014,-1.96161033928508,-1.31122840769112,-.00901289133318512,2.6,3,1,2,4.6,2.5,7,5,4.2,7,4.25,1,0,1,1
MOMBASA,1,1,0, , , , , , ,1,4,1, ,6, ,Steel Fixer,2,1, ,5,2,2, ,2, ,2, ,3,6,1,1,7,6,6,5,5,5,5,3,5,4,4,1,4,1,1,1,7,3,3,4,5,1,1,5,6,1,1,6,1,4,4,4,4,6,1,6,5,6,5,6,5,5,1,1,4,"It is important, accreditation giv",No NCA officers around to see,Build more NCA offices around to access,NCA to increase more visits to the s,.409830360060988,1.0112997639939,-1.28699084144446,-.52424327859645,-.363500552173146,.709191222707753,.147192291675752,-1.63872877782773,.232992107300441,-.992806032075874,4.2,5,4,1.6,4.4,2.5,3.75,4.66666666666667,4.6,5.5,2.75,1, ,.857142857142857,1
MOMBASA,1,1,0, , , , ,2, ,2,3,6, ,1, ,PM on Construction,1,3, ,1,1,2, ,2, ,1, ,1,7,5,5,5,5,7,4,4,4,4,4,4,1,4,5,5,4,4,1,7,4,4,4,5,4,5,4,5,4,4,5,4,4,4,4,4,7,4,5,5,5,4,5,5,4,4,4,4,"Yes, because it increases your cha","Ignorance, finance and access","More empowerment, bring the service clos",I think NCA should also teach awaren,.237445038752913,-.00793251431218,.264185964526988,-.509058054223442,.0168298769983207,-.167576435660822,-.638258237260896,-.478540611644125,.540663167500859,.522110195553288,5.4,4,3.25,3.8,4.8,4.33333333333333,4.25,5,4.6,5,4,1,0,1,1
MOMBASA,1,1,0, , , , ,1,1,1,4,3, ,2, ,Plant Operator,1,2, ,2,1,2, ,2, ,1, ,2,7,7,7,1,6,7,7,7,6,5,1,1,1,1,4,7,7,7,1,7,7,7,4,7,1,7,1,7,7,7,7,7,7,7,7,7,6,6,7,5,5,7,6,6,3,7,1,1,"Yes, because of my few understandi",A barrier can be like that of,NCA officers should prolong the deadline,NCA officers should also check on ou,1.51883885151449,-.32754992042251,2.50763997081628,-.285130282885094,-.851764135213114,-1.79395644386982,.162769840634772,-.933481735190955,.642223494732754,.742430971783719,5.6,6.25,1,5.2,6.4,5,7,6.66666666666667,6,6,3,1,1,1,1
